caller_id,recipient_id,date,time,duration,tower_id,prefecture,hour
6RUMEMGE,23RJAXQ1,2020-01-01,00:24:29,99,tower23,BLITTA,0
RH9604A1,VF8PQW02,2020-01-01,00:25:24,152,tower84,TCHAOUDJO,0
UHX8BQMK,SB2GZAJU,2020-01-01,00:59:41,100,tower62,LOME COMMUNE,0
E35NJHCH,C18O8PW7,2020-01-01,01:26:30,89,tower32,EST-MONO,1
536AAL2Y,LFXCTNCS,2020-01-01,01:36:15,113,tower37,GOLFE,1
41PJSO2K,YDGVL625,2020-01-01,01:50:34,128,tower55,LOME COMMUNE,1
SG8WV7D2,BVAS9K9W,2020-01-01,01:51:45,62,tower14,AKEBOU,1
DVO6WS7K,BVAS9K9W,2020-01-01,02:09:39,108,tower48,KOZAH,2
FRS832YF,1S9T7ERF,2020-01-01,02:16:42,54,tower42,GOLFE,2
7G2T9TPC,OO66L484,2020-01-01,02:20:01,110,tower18,ASSOLI,2
FWGZVNWU,I78A4ZYA,2020-01-01,03:21:21,101,tower4,AGOE-NYIVE,3
DVO6WS7K,9B0R7O7F,2020-01-01,03:25:15,77,tower47,KOZAH,3
JTZ8NTNT,BWUDB7OK,2020-01-01,03:29:17,62,tower100,PLAINE DU MO,3
5OV4ISV8,RU3LLYRM,2020-01-01,03:33:03,84,tower101,PLAINE DU MO,3
FQ1Z0P2T,BVAS9K9W,2020-01-01,04:01:17,121,tower75,SOTOUBOUA,4
0706DUPJ,TEZK7G1F,2020-01-01,04:06:50,101,tower34,GOLFE,4
BZFQY2QR,SVK701Q4,2020-01-01,04:23:37,164,tower11,AGOU,4
UHX8BQMK,HWD6GQ16,2020-01-01,04:28:34,103,tower5,AGOE-NYIVE,4
CHK6RZDS,786DVPTE,2020-01-01,04:40:25,77,tower97,OTI-SUD,4
COD1SBB0,1S9T7ERF,2020-01-01,04:41:40,152,tower77,TANDJOARE,4
HNHOUXJM,SB2GZAJU,2020-01-01,05:02:02,87,tower15,ANIE,5
3H7ROWGG,FRS832YF,2020-01-01,05:14:55,113,tower69,MOYEN-MONO,5
B5ZATI54,V2J558WL,2020-01-01,05:21:58,47,tower33,GOLFE,5
UTP1PFWB,L1DKO6MV,2020-01-01,05:29:39,107,tower95,AMOU,5
EEVGEQPH,KSUQVRSH,2020-01-01,05:34:33,95,tower102,PLAINE DU MO,5
OK4PTTMX,1DJTB0AG,2020-01-01,05:41:54,71,tower74,OTI,5
CO9IM36S,N8HKPIK4,2020-01-01,06:20:31,101,tower75,SOTOUBOUA,6
UHX8BQMK,I8EZDI9H,2020-01-01,06:23:16,111,tower63,LOME COMMUNE,6
BZFQY2QR,8TG8O2BF,2020-01-01,06:33:00,92,tower43,HAHO,6
6Y16JW65,T105K8U0,2020-01-01,06:34:45,84,tower19,BASSAR,6
QU7QSVGS,CJEB2UOC,2020-01-01,06:52:55,109,tower54,LOME COMMUNE,6
IDXIWF9Y,6Y16JW65,2020-01-01,06:56:34,97,tower66,LOME COMMUNE,6
W6QZ7S00,W02707BQ,2020-01-01,07:00:58,84,tower21,BINAH,7
I78A4ZYA,JRCMCAKE,2020-01-01,07:22:39,125,tower4,AGOE-NYIVE,7
RH9604A1,SJ02XAIM,2020-01-01,07:40:22,134,tower79,TCHAOUDJO,7
IDOFCO72,2B4LACSW,2020-01-01,07:51:33,101,tower49,KPELE,7
3VZAX0RR,3D70JPBF,2020-01-01,07:57:49,117,tower66,LOME COMMUNE,7
TM4KSMO9,RU3LLYRM,2020-01-01,08:10:45,68,tower50,KPENDJAL,8
8FA9GEXM,EEVGEQPH,2020-01-01,08:14:40,89,tower3,AGOE-NYIVE,8
NRPQOXJW,M3MCR0YC,2020-01-01,08:30:21,155,tower4,AGOE-NYIVE,8
UYRRM4JD,MPQMSOBP,2020-01-01,08:32:30,120,tower15,ANIE,8
OT5GIBEA,2B4LACSW,2020-01-01,08:34:10,66,tower60,LOME COMMUNE,8
PUUV28Y3,L1DKO6MV,2020-01-01,08:55:41,82,tower55,LOME COMMUNE,8
PUUV28Y3,1S9T7ERF,2020-01-01,08:58:48,93,tower53,LOME COMMUNE,8
Q5BK8XEM,6HEE149Y,2020-01-01,09:18:58,108,tower77,TANDJOARE,9
OHGI1JNY,R4DNBXGL,2020-01-01,09:22:01,89,tower33,GOLFE,9
QPB1YYRY,0HHVC11B,2020-01-01,09:37:23,85,tower32,EST-MONO,9
AEOYEEI1,I8EZDI9H,2020-01-01,09:40:26,139,tower24,CINKASSE,9
UYRRM4JD,2B4LACSW,2020-01-01,09:58:16,93,tower96,AMOU,9
3D70JPBF,E35NJHCH,2020-01-01,09:59:47,116,tower57,LOME COMMUNE,9
1S9T7ERF,BZFQY2QR,2020-01-01,10:10:53,135,tower20,BASSAR,10
TKBXHJOX,W6QZ7S00,2020-01-01,10:27:08,144,tower67,MOYEN-MONO,10
TEZK7G1F,I78A4ZYA,2020-01-01,10:47:24,74,tower98,KPENDJAL-OUEST,10
NIF6UYTN,CV9MTN0Y,2020-01-01,11:01:40,80,tower82,TCHAOUDJO,11
3VZAX0RR,E35NJHCH,2020-01-01,11:04:11,46,tower38,GOLFE,11
W6QZ7S00,OHGI1JNY,2020-01-01,11:08:37,106,tower47,KOZAH,11
4SEEL57M,UPUH33XF,2020-01-01,11:14:49,143,tower28,DANYI,11
3D70JPBF,6HEE149Y,2020-01-01,11:19:06,163,tower62,LOME COMMUNE,11
UPUH33XF,TM4KSMO9,2020-01-01,11:47:11,122,tower66,LOME COMMUNE,11
OW8BY9KD,UHX8BQMK,2020-01-01,11:47:36,71,tower82,TCHAOUDJO,11
6RUMEMGE,IFOFOESU,2020-01-01,12:00:11,106,tower23,BLITTA,12
COD1SBB0,TEZK7G1F,2020-01-01,12:09:20,91,tower97,OTI-SUD,12
1DJTB0AG,QPB1YYRY,2020-01-01,12:10:28,125,tower34,GOLFE,12
6RUMEMGE,JTZ8NTNT,2020-01-01,12:11:33,147,tower78,TCHAMBA,12
UH87QXHH,D8F040KM,2020-01-01,12:17:27,29,tower90,WAWA,12
COD1SBB0,M3MCR0YC,2020-01-01,12:17:28,93,tower97,OTI-SUD,12
YDW44SWN,QK6RD0CH,2020-01-01,12:18:54,82,tower74,OTI,12
UHX8BQMK,QQ8Z3DOV,2020-01-01,12:22:12,113,tower66,LOME COMMUNE,12
7G8IQ6MS,UH87QXHH,2020-01-01,12:35:28,73,tower102,PLAINE DU MO,12
SJ02XAIM,FWGZVNWU,2020-01-01,12:37:15,135,tower0,AGOE-NYIVE,12
7ISEBFWJ,UH87QXHH,2020-01-01,12:38:16,83,tower94,ZIO,12
9QZ0HCVE,RR13MTWZ,2020-01-01,12:49:37,112,tower58,LOME COMMUNE,12
1DJTB0AG,HNHOUXJM,2020-01-01,12:51:46,102,tower42,GOLFE,12
EW1CU6MB,UW3JX66G,2020-01-01,13:03:11,83,tower42,GOLFE,13
RH9604A1,OO66L484,2020-01-01,13:31:42,173,tower80,TCHAOUDJO,13
TV465N8P,6I3K0MVW,2020-01-01,13:38:06,140,tower67,MOYEN-MONO,13
3H7ROWGG,1DJTB0AG,2020-01-01,13:40:44,123,tower43,HAHO,13
4SEEL57M,H3N42UUB,2020-01-01,13:42:13,163,tower49,KPELE,13
LUJ3QL62,CO9IM36S,2020-01-01,13:46:00,120,tower54,LOME COMMUNE,13
LWA939JH,RXXFANJ3,2020-01-01,14:12:13,62,tower0,AGOE-NYIVE,14
T105K8U0,YDGVL625,2020-01-01,14:24:05,67,tower94,ZIO,14
XAJI0Y6D,8A0F9A5Y,2020-01-01,14:34:11,79,tower54,LOME COMMUNE,14
536AAL2Y,FG4TKMTL,2020-01-01,14:41:34,104,tower36,GOLFE,14
EEVGEQPH,0HHVC11B,2020-01-01,14:53:35,104,tower100,PLAINE DU MO,14
FRS832YF,RH9604A1,2020-01-01,14:55:09,121,tower7,AGOE-NYIVE,14
TV465N8P,DZX7JJ0X,2020-01-01,15:01:07,96,tower68,MOYEN-MONO,15
850ILZ3A,MPQMSOBP,2020-01-01,15:01:50,128,tower61,LOME COMMUNE,15
8FA9GEXM,N8HKPIK4,2020-01-01,15:21:14,129,tower33,GOLFE,15
850ILZ3A,NIF6UYTN,2020-01-01,15:22:11,63,tower55,LOME COMMUNE,15
FG4TKMTL,JYY4GIFI,2020-01-01,15:29:03,118,tower44,KERAN,15
FYWRH23S,OO66L484,2020-01-01,15:37:39,69,tower72,OGOU,15
UYRRM4JD,2B4LACSW,2020-01-01,15:48:08,104,tower15,ANIE,15
JTZ8NTNT,1DJTB0AG,2020-01-01,15:52:53,89,tower80,TCHAOUDJO,15
CPIQJ5U0,7ISEBFWJ,2020-01-01,15:55:45,138,tower0,AGOE-NYIVE,15
536AAL2Y,IU9XRLE9,2020-01-01,16:12:16,101,tower51,LACS,16
